MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00104257,1.48559,4.65216,9.76393,3.64104,7.81399,4.44161
0.00104974,1.94198,4.64949,10.2236,3.66893,7.91117,4.83623
0.000998509,2.66744,4.73071,10.4446,3.48328,8.05904,5.41462
0.000978887,3.15575,4.82909,10.5544,3.19653,8.17261,6.04231
0.000929772,3.80958,4.89115,10.9511,3.0798,8.23121,6.55905
0.000980532,4.72582,4.91659,11.2723,2.67638,8.34951,7.21546
0.000950556,5.36226,4.88214,11.4521,2.26401,8.44345,7.88589
0.000934159,5.891,4.86858,11.7639,2.12787,8.49598,8.34695
0.000914419,6.51721,4.78702,12.0277,1.90569,8.49822,8.77934
0.000826316,6.9684,4.7083,12.1479,1.68265,8.55419,9.26076
0.000808646,7.38145,4.60517,12.4238,1.57238,8.53675,9.58249
0.00085071,7.9511,4.75902,12.4493,1.43919,8.5829,9.92133
0.000805938,8.49891,4.69124,12.4909,0.954868,8.60201,10.3784
0.000799603,8.84639,4.63143,12.4865,0.581835,8.55824,10.7024
0.000826346,9.1022,4.59762,12.1834,0.307437,8.52964,10.9034
0.000747368,9.28969,4.55601,12.0126,0.0959083,8.49374,11.0174
0.00079044,9.56615,4.58766,11.9604,-0.166246,8.45132,11.0928
0.00075603,10.0339,4.59292,11.7662,-0.584967,8.4456,11.3163
0.0007445,10.5667,4.57376,11.7534,-1.03036,8.45421,11.4955
0.00070185,11.1607,4.57725,11.6684,-1.61232,8.51759,11.7415
0.000691681,11.6547,4.49762,11.533,-2.18468,8.59679,12.0101
0.00067684,11.8759,4.44541,11.3972,-2.51423,8.62315,12.1111
0.000626971,12.2665,4.42135,11.3603,-2.76462,8.69381,12.2525
0.000681592,12.5189,4.41154,11.3316,-3.03744,8.7547,12.4011
0.000630244,12.6414,4.36838,11.3403,-3.17788,8.78332,12.4312
0.000668062,12.8776,4.27901,11.4034,-3.30948,8.85758,12.4704
0.000664336,13.121,4.26349,11.514,-3.59339,8.95506,12.6414
0.000592104,13.3645,4.31793,11.5177,-3.76884,9.07792,12.7734
0.000648186,13.7,4.17027,11.5188,-4.06042,9.2189,12.907
0.000645148,13.8965,3.98964,11.6361,-4.1866,9.33741,12.9778
0.000583877,13.9409,4.03605,11.6043,-4.16986,9.47377,12.9748
0.000627491,14.0162,4.03607,11.6479,-4.08611,9.61972,12.9566
0.000592749,14.1837,4.06237,11.7382,-4.09527,9.82384,13.0561
0.000654012,14.3357,3.8414,11.9819,-4.01053,9.97393,13.1373
0.00058686,14.5909,3.86971,12.0284,-3.90132,10.2023,13.2571
0.000622132,14.7947,3.86605,12.2729,-3.91933,10.4689,13.5669
0.000595936,14.8123,3.78759,12.6431,-3.7445,10.7093,13.761
0.000607682,15.0287,3.82799,12.9245,-3.48409,10.967,13.9852
0.000609946,15.3146,3.87487,13.1605,-3.42479,11.3334,14.3617
0.000569963,15.3197,3.89131,13.5384,-3.19413,11.6966,14.5897
0.00056187,15.2138,3.89268,13.7978,-2.90053,12.0561,14.7951
0.000590537,15.3117,3.87436,14.2295,-2.40928,12.3903,14.7491
0.000588518,15.8006,3.88278,14.4127,-2.29613,12.839,15.0677
0.000555665,16.2117,3.89463,14.7698,-2.05918,13.3715,15.3346
0.000561547,16.3058,4.03024,15.0131,-1.96941,13.7643,15.5142
