MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.000230395,17.075,-8.69378,-37.6007,18.3027,12.9404,12.0472
0.000197124,16.4647,-8.33069,-36.6385,17.5042,12.579,11.2531
0.000185679,16.0911,-8.1668,-35.5503,16.9049,12.3598,10.414
0.000208552,15.5207,-8.06659,-34.3292,16.2582,11.7985,10.4988
0.000198022,14.9351,-8.08541,-33.2878,15.6685,11.3454,10.0928
0.000204496,14.6127,-7.887,-32.1782,15.0768,11.1606,9.58673
0.000186717,14.2148,-7.58807,-30.943,14.5265,10.8086,9.133
0.000231186,13.7127,-7.31748,-29.714,13.8551,10.4271,8.73025
0.000280863,13.024,-6.68148,-27.9567,13.2368,10.0703,8.38121
0.000200372,12.516,-6.71689,-27.0599,12.5588,9.89267,7.77523
0.000202359,12.051,-6.80687,-26.5853,11.9795,9.41012,7.99252
0.000216587,11.2647,-6.57778,-24.8326,11.3524,9.0788,7.7086
0.000228479,10.5086,-6.5524,-23.5736,10.7437,8.85887,7.55588
0.000163103,10.2413,-6.54858,-22.9378,10.0718,8.68848,6.74485
0.000203634,9.64591,-6.31041,-21.7185,9.55375,8.51169,6.63001
0.000195546,8.85423,-6.35504,-20.6157,8.94252,8.15184,6.48728
0.000204083,8.25126,-5.93513,-19.2496,8.445,7.9034,6.52174
0.000184762,7.62305,-5.94385,-18.2932,7.85759,7.62351,6.3244
0.000164629,7.20207,-6.12072,-17.5837,7.27483,7.37262,6.2258
0.00018214,6.88952,-5.77283,-16.2622,6.81519,7.20016,5.74374
0.000155446,6.35573,-5.84746,-15.5745,6.22969,6.97738,5.73604
0.00018656,6.00971,-5.64663,-14.4001,5.7172,6.8124,5.41627
0.000175922,5.62385,-5.48516,-13.2239,5.25464,6.57732,5.28292
0.000183701,5.35906,-5.1157,-12.4966,4.76385,6.46501,4.9831
0.000157603,5.06977,-5.02209,-11.8821,4.31445,6.22284,4.57527
0.000162231,4.42191,-5.10181,-11.2865,3.91113,6.02379,4.40206
0.000169951,4.02661,-4.93497,-10.3914,3.3681,5.77668,4.348
0.000167293,3.80086,-4.9046,-9.46171,3.07384,5.77014,4.1142
0.000159256,3.39207,-4.82067,-8.85536,2.61171,5.67589,3.77052
0.000157183,2.90758,-4.70042,-8.20485,2.19763,5.48228,3.51992
0.000192885,2.40915,-4.65726,-7.09369,1.74086,5.22233,3.65792
