MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00142471,20.7745,-9.23267,-36.6529,28.8348,15.1112,22.5124
0.00163788,20.9181,-9.40898,-36.982,29.0101,15.2036,22.7799
0.00132326,21.3343,-9.43855,-37.317,29.1378,15.4319,22.8274
0.00130035,21.6272,-9.37218,-37.2372,29.1605,15.6468,22.7592
0.00137609,21.8224,-9.33885,-37.2283,29.1176,15.819,22.7011
0.00144145,22.0921,-9.31816,-37.1298,28.9678,16.0117,22.5804
0.0016882,22.0293,-9.33771,-36.869,28.8356,16.0566,22.4726
0.00161238,22.0639,-9.38821,-36.7385,28.6056,16.0667,22.384
0.00135756,22.1607,-9.26723,-36.5647,28.3794,16.1186,22.0476
0.00148125,22.157,-9.13503,-36.351,28.0617,16.1255,21.7223
0.00136523,22.1632,-9.03222,-36.0861,27.6912,16.1686,21.3037
0.00151982,22.1658,-8.74768,-35.5556,27.3352,16.2302,20.8089
0.00150555,22.0387,-8.6624,-35.1621,26.9186,16.0465,20.4084
0.00137507,21.9587,-8.48613,-34.745,26.3383,16.31,19.6102
0.00142826,21.8142,-8.24064,-34.2363,25.8456,16.166,19.1252
0.00154138,21.6797,-8.05476,-33.8006,25.3539,16.0437,18.5984
0.00140428,21.5088,-7.70975,-33.042,24.8204,15.9192,18.0168
0.00141955,21.1349,-7.54109,-32.3843,24.3173,15.255,18.3411
0.00153547,20.8188,-7.33756,-31.7296,23.751,15.4136,17.3154
0.00123234,20.5171,-7.05786,-31.1466,23.1693,15.1668,16.7696
0.0012144,20.18,-6.74548,-30.4306,22.6013,15.0021,16.1409
0.00132189,19.9036,-6.56005,-29.7391,22.0262,14.6892,15.6247
0.0011111,19.4637,-6.21199,-28.8889,21.3881,14.1792,15.3597
0.00109384,19.0915,-6.00827,-28.2428,20.6712,14.3403,14.1834
0.00135552,18.6812,-5.77159,-27.4724,20.0898,13.9707,13.8296
0.00122826,18.3196,-5.5324,-26.7681,19.4166,13.6863,13.3494
0.00104358,17.849,-5.33944,-25.997,18.9134,13.3481,12.4415
0.00124255,17.2666,-5.04907,-25.0479,18.3027,12.9404,12.0472
0.00108782,16.8684,-4.73356,-24.1653,17.5042,12.579,11.2531
0.00107701,16.552,-4.65696,-23.7213,16.9049,12.3598,10.414
0.00144927,15.963,-4.44009,-22.8959,16.2582,11.7985,10.4988
0.00124952,15.3822,-4.32734,-22.0956,15.6685,11.3454,10.0928
0.00107268,14.9862,-4.12823,-21.4284,15.0768,11.1606,9.58673
0.00100253,14.6196,-4.018,-20.8241,14.5265,10.8086,9.133
0.000884203,14.1544,-3.88379,-20.0973,13.8551,10.4271,8.73024
0.00107653,13.5864,-3.75201,-19.3597,13.2368,10.0703,8.38121
0.000791799,13.0477,-3.67532,-18.6071,12.5588,9.89267,7.77523
0.000897843,12.6204,-3.64004,-18.029,11.9795,9.41012,7.99252
0.00138041,11.8969,-3.57394,-17.0243,11.3524,9.0788,7.70859
0.000867865,11.1231,-3.59507,-16.3391,10.7437,8.85887,7.55588
0.000502639,10.8753,-3.47987,-15.735,10.0718,8.68848,6.74484
