MSE,ICP rX,ICP rY,ICP rZ,GT rX,GT rY,GT rZ
0.00489406,21.7414,-11.2884,-40.8836,22.6013,15.0021,16.1409
0.00482448,21.4747,-11.1242,-40.0514,22.0262,14.6892,15.6247
0.00442658,21.0714,-10.9535,-39.0376,21.3881,14.1792,15.3597
0.00398148,20.7812,-10.9542,-38.5496,20.6712,14.3403,14.1834
0.00444668,20.2634,-10.6861,-37.265,20.0898,13.9707,13.8296
0.00452417,19.9414,-10.7262,-36.6509,19.4166,13.6863,13.3494
0.00422545,19.437,-10.7723,-36.231,18.9134,13.3481,12.4415
0.00501958,18.9367,-10.586,-34.7368,18.3027,12.9404,12.0472
0.00378925,18.4192,-10.3336,-33.8082,17.5042,12.579,11.2531
0.00427734,18.0818,-10.2047,-32.8224,16.9049,12.3598,10.414
0.00425533,17.5264,-10.2054,-31.8402,16.2582,11.7985,10.4988
0.00423179,17.0008,-10.2746,-30.6571,15.6685,11.3454,10.0928
0.00406371,16.5327,-10.1966,-29.9114,15.0768,11.1606,9.58673
0.00375499,16.0227,-10.003,-28.9226,14.5265,10.8086,9.133
0.00374655,15.5458,-9.94223,-28.0133,13.8551,10.4271,8.73025
0.0042115,15.0519,-9.9921,-27.1326,13.2368,10.0703,8.38121
0.00358046,14.5182,-10.0034,-26.1761,12.5588,9.89267,7.77523
0.00398591,14.0337,-10.1014,-25.4829,11.9795,9.41012,7.99252
0.00439884,13.2726,-10.1446,-24.2748,11.3524,9.0788,7.7086
0.00450655,12.5118,-9.84469,-22.4509,10.7437,8.85887,7.55588
0.00339585,12.1896,-9.72015,-21.7763,10.0718,8.68848,6.74485
0.00422679,11.6784,-9.57031,-20.5252,9.55375,8.51169,6.63001
0.00393483,10.9119,-9.77433,-19.5309,8.94252,8.15184,6.48728
0.00365822,10.3881,-9.68488,-18.5245,8.445,7.9034,6.52174
0.00337468,9.72363,-9.68498,-17.8667,7.85759,7.62351,6.3244
0.00344771,9.25266,-9.81664,-17.0711,7.27483,7.37262,6.2258
0.00319015,8.88161,-9.69319,-16.2842,6.81519,7.20016,5.74374
0.00340566,8.44776,-9.74851,-15.3843,6.22969,6.97738,5.73604
0.00351744,8.00528,-9.59966,-14.6141,5.7172,6.8124,5.41627
0.00311994,7.56709,-9.61925,-13.7582,5.25464,6.57732,5.28292
0.003334,7.26029,-9.50167,-13.0915,4.76385,6.46501,4.9831
0.00322085,6.95208,-9.34356,-12.4526,4.31445,6.22284,4.57527
0.0034564,6.27349,-9.26862,-11.6145,3.91113,6.02379,4.40206
0.00322426,5.87488,-9.07263,-10.7313,3.3681,5.77668,4.348
0.00357042,5.61327,-8.80454,-9.77957,3.07384,5.77014,4.1142
0.00318443,5.16044,-8.68777,-9.20361,2.61171,5.67589,3.77052
0.0029836,4.67231,-8.60266,-8.64363,2.19763,5.48228,3.51992
0.00395242,3.96992,-8.51497,-8.17857,1.74086,5.22233,3.65792
0.00616556,3.08696,-8.03831,-9.07871,1.34096,4.95995,3.46782
0.00375692,2.72575,-8.01456,-8.50473,0.939237,4.846,3.17878
0.00376553,2.20639,-8.04001,-7.78203,0.421831,4.64202,2.94606
0.00400001,1.74997,-7.96045,-7.24792,-0.139951,4.43883,2.95751
0.00334316,1.38588,-7.8753,-6.65429,-0.586851,4.2454,2.48397
0.00402346,0.91293,-7.75693,-5.78711,-1.12282,4.01301,2.40315
0.00469157,0.623721,-7.57312,-4.73321,-1.6307,3.77973,2.42852
0.00508876,0.413261,-7.49878,-3.20831,-2.07735,3.62586,2.06781
0.00405566,0.133407,-7.37613,-2.80598,-2.44966,3.45791,2.03901
0.00413575,-0.191462,-7.31249,-1.96269,-2.94139,3.2361,1.77469
0.00415849,-0.708145,-7.2359,-1.18466,-3.42952,3.1251,1.65413
0.0045309,-1.15091,-7.08033,-0.408782,-3.73434,2.95678,1.88335
0.00464104,-1.59828,-6.98502,0.476194,-4.24812,2.8105,1.71183
0.00488018,-2.07301,-6.91104,0.954079,-4.64299,2.68811,1.84347
0.00407017,-2.08208,-6.74081,1.6534,-4.92143,2.61683,1.57608
0.00464928,-2.46523,-6.70207,2.24623,-5.29889,2.46069,1.49788
0.00473628,-2.73249,-6.58549,2.89784,-5.68534,2.28286,1.60053
0.00438748,-2.74965,-6.44358,3.15293,-5.96518,2.18392,1.04887
0.00479609,-3.00211,-6.35978,3.64387,-6.259,2.08499,0.972897
